run_id,method,aug,seed,stage,epoch,lr_used,lr_next,train_loss,val_loss,train_base_loss,val_base_loss,train_aux_ce,val_aux_ce,n_train_units,n_val_units,train_batches,val_batches,skipped_batches,val_bacc,val_auc,val_recall_dead,val_recall_alive,val_precision_dead,val_f1_dead
selfcon__simclr__s42,selfcon,simclr,42,contrastive,1,0.0005,0.0004996573836886434,3.1563482761383055,3.2562411721930444,3.1563482761383055,3.2562411721930444,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,2,0.0004996573836886434,0.0004986304738420682,2.6958099524180095,3.3762618403836906,2.6958099524180095,3.3762618403836906,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,3,0.0004986304738420682,0.0004969220851487844,2.6785605271657307,3.1391644650195016,2.6785605271657307,3.1391644650195016,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,4,0.0004969220851487844,0.0004945369001834514,2.423515955607096,3.0679259041705764,2.423515955607096,3.0679259041705764,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,5,0.0004945369001834514,0.0004914814565722671,2.2616310834884645,2.8858086574508484,2.2616310834884645,2.8858086574508484,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,6,0.0004914814565722671,0.00048776412907378846,1.97536252339681,2.9000541560621147,1.97536252339681,2.9000541560621147,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,7,0.00048776412907378846,0.00048339510662430044,2.1237739721934,2.8485094466841363,2.1237739721934,2.8485094466841363,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,8,0.00048339510662430044,0.0004783863644106502,1.9910144567489625,2.674187973321202,1.9910144567489625,2.674187973321202,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,9,0.0004783863644106502,0.00047275163104709196,1.9447195847829184,2.699794283832412,1.9447195847829184,2.699794283832412,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,10,0.00047275163104709196,0.00046650635094610973,1.6542121330897013,2.5651768173079894,1.6542121330897013,2.5651768173079894,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,11,0.00046650635094610973,0.00045966764198635603,1.4871463855107625,2.587907064391906,1.4871463855107625,2.587907064391906,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,12,0.00045966764198635603,0.0004522542485937369,1.757498304049174,2.6617180123386612,1.757498304049174,2.6617180123386612,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,13,0.0004522542485937369,0.00044428649036424276,1.6017613649368285,2.618694566818605,1.6017613649368285,2.618694566818605,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,14,0.00044428649036424276,0.0004357862063693486,1.5640563249588013,2.2840874539800438,1.5640563249588013,2.2840874539800438,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,15,0.0004357862063693486,0.00042677669529663696,1.488652761777242,2.096605601080929,1.488652761777242,2.096605601080929,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,16,0.00042677669529663696,0.0004172826515897146,1.5302284558614094,2.111783138240676,1.5302284558614094,2.111783138240676,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,17,0.0004172826515897146,0.0004073300977624594,1.2001758178075155,2.3039784761796516,1.2001758178075155,2.3039784761796516,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,18,0.0004073300977624594,0.0003969463130731183,1.4035430034001668,2.3682617825197885,1.4035430034001668,2.3682617825197885,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,19,0.0003969463130731183,0.0003861597587537568,1.3254977146784463,2.2520050255649062,1.3254977146784463,2.2520050255649062,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,20,0.0003861597587537568,0.000375,1.1675452788670857,2.3401090883346924,1.1675452788670857,2.3401090883346924,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,21,0.000375,0.00036349762493488667,0.9671247482299805,2.0884218718632157,0.9671247482299805,2.0884218718632157,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,22,0.00036349762493488667,0.0003516841607689501,0.9628440817197164,2.0575992888714896,0.9628440817197164,2.0575992888714896,,,240,166,4,3,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,23,0.0003516841607689501,0.00033959198738632514,0.9482872207959493,1.9893075543713856,0.9482872207959493,1.9893075543713856,,,240,166,4,3,0,,,,,,
