run_id,method,aug,seed,stage,epoch,lr_used,lr_next,train_loss,val_loss,train_base_loss,val_base_loss,train_aux_ce,val_aux_ce,n_train_units,n_val_units,train_batches,val_batches,skipped_batches,val_bacc,val_auc,val_recall_dead,val_recall_alive,val_precision_dead,val_f1_dead
selfcon__simclr__s42,selfcon,simclr,42,contrastive,1,0.0005,0.0004996573836886434,2.2186852411356464,1.9213056544719656,2.2186852411356464,1.9213056544719656,,,2298,1702,36,27,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,2,0.0004996573836886434,0.0004986304738420682,1.6459744211069078,1.951010440267211,1.6459744211069078,1.951010440267211,,,2298,1702,36,27,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,3,0.0004986304738420682,0.0004969220851487844,1.3392958724052622,1.690963734120796,1.3392958724052622,1.690963734120796,,,2298,1702,36,27,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,4,0.0004969220851487844,0.0004945369001834514,1.3201316361638957,1.3910126333791417,1.3201316361638957,1.3910126333791417,,,2298,1702,36,27,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,5,0.0004945369001834514,0.0004914814565722671,1.1947883295950628,1.370888413679726,1.1947883295950628,1.370888413679726,,,2298,1702,36,27,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,6,0.0004914814565722671,0.00048776412907378846,0.9840984038937289,1.203643202361433,0.9840984038937289,1.203643202361433,,,2298,1702,36,27,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,7,0.00048776412907378846,0.00048339510662430044,0.9253974578710511,1.1865097240891775,0.9253974578710511,1.1865097240891775,,,2298,1702,36,27,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,8,0.00048339510662430044,0.0004783863644106502,0.8233534250703451,1.0181730334437973,0.8233534250703451,1.0181730334437973,,,2298,1702,36,27,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,9,0.0004783863644106502,0.00047275163104709196,0.8257254633413801,1.0368514979908245,0.8257254633413801,1.0368514979908245,,,2298,1702,36,27,0,,,,,,
selfcon__simclr__s42,selfcon,simclr,42,contrastive,10,0.00047275163104709196,0.00046650635094610973,0.6955819365457414,1.0043359524915136,0.6955819365457414,1.0043359524915136,,,2298,1702,36,27,0,,,,,,
